,original_title,release_year,runtime
193,Boxcar Bertha,1972,107
194,"Play It Again, Sam",1972,107
195,Tales from the Crypt,1972,107
196,"Now You See Him, Now You Don't",1972,107
197,The Getaway,1972,107
198,The Cowboys,1972,107
199,Sleuth,1972,107
200,The Mechanic,1972,107
201,The Poseidon Adventure,1972,107
202,Chato's Land,1972,107
203,Blacula,1972,107
204,Milano Calibro 9,1972,107
205,Carry On Matron,1972,107
206,Dr. Phibes Rises Again,1972,107
207,Fat City,1972,107
208,Dillinger,1973,166
209,Theatre of Blood,1973,166
210,The Sugarland Express,1974,127
211,Herbie Rides Again,1974,127
212,Murder on the Orient Express,1974,127
213,Blazing Saddles,1974,127
214,The Four Musketeers,1974,127
215,Airport 1975,1974,127
216,Foxy Brown,1974,127
217,Il portiere di notte,1974,127
218,The Great Gatsby,1974,127
219,Deranged,1974,127
220,Black Christmas,1974,127
221,Thunderbolt and Lightfoot,1974,127
222,Dark Star,1974,127
223,Female Trouble,1974,127
224,The Conversation,1974,127
225,The Texas Chain Saw Massacre,1974,127
226,Young Frankenstein,1974,127
227,The Man with the Golden Gun,1974,127
228,Chinatown,1974,127
229,The Godfather: Part II,1974,127
230,The Taking of Pelham One Two Three,1974,127
231,Phantom of the Paradise,1974,127
232,Alice Doesn't Live Here Anymore,1974,127
233,Lenny,1974,127
234,Death Wish,1974,127
235,Hearts and Minds,1974,127
236,Benji,1974,127
237,Where the Red Fern Grows,1974,127
238,Flesh Gordon,1974,127
239,The Amputee,1974,127
240,A Woman Under the Influence,1974,127
241,Madhouse,1974,127
242,Captain Kronos: Vampire Hunter,1974,127
243,The Count of Monte-Cristo,1974,127
244,The Year Without a Santa Claus,1974,127
245,The Parallax View,1974,127
246,The Odessa File,1974,127
247,It's Alive,1974,127
248,The Towering Inferno,1974,127
249,Gone in 60 Seconds,1974,127
250,Zardoz,1974,127
251,The Front Page,1974,127
252,Bring Me the Head of Alfredo Garcia,1974,127
253,The Longest Yard,1974,127
254,Phase IV,1974,127
255,Animals Are Beautiful People,1974,127
256,Earthquake,1974,127
257,The Land That Time Forgot,1975,128
258,The Sunshine Boys,1975,128
259,The Adventure of Sherlock Holmes' Smarter Brother,1975,128
260,Dog Day Afternoon,1975,128
261,The Eiger Sanction,1975,128
262,Shivers,1975,128
263,Bug,1975,128
264,The Man Who Would Be King,1975,128
265,Rollerball,1975,128
266,The Hindenburg,1975,128
267,Professione: reporter,1975,128
268,Shampoo,1975,128
269,Rooster Cogburn,1975,128
270,Nashville,1975,128
271,The Stepford Wives,1975,128
272,Three Days of the Condor,1975,128
273,Breakheart Pass,1975,128
274,Tommy,1975,128
275,Supervixens,1975,128
276,Hard Times,1975,128
277,French Connection II,1975,128
278,Picnic at Hanging Rock,1975,128
279,Black Moon,1975,128
280,Escape to Witch Mountain,1975,128
281,Love and Death,1975,128
282,Death Race 2000,1975,128
283,A Boy and His Dog,1975,128
284,Ilsa: She Wolf of the SS,1975,128
285,The Apple Dumpling Gang,1975,128
286,The Story of O,1975,128
287,Race with the Devil,1975,128
288,The Wind and the Lion,1975,128
289,Grey Gardens,1975,128
290,Night Moves,1975,128
291,The Ultimate Warrior,1975,128
292,Boss Nigger,1975,128
293,Coonskin,1975,128
294,Trilogy of Terror,1975,128
295,The Front,1976,136
296,The Bad News Bears,1976,136
297,The Food of the Gods,1976,136
298,Du bi quan wang da po xue di zi,1976,136
299,Î¤Î± Ï€Î±Î¹Î´Î¹Î¬ Ï„Î¿Ï… Î´Î¹Î±Î²ÏŒÎ»Î¿Ï…,1976,136
300,Car Wash,1976,136
301,The Song Remains the Same,1976,136
302,Cannonball,1976,136
303,Bugsy Malone,1976,136
304,Midway,1976,136
305,Squirm,1976,136
306,A Star Is Born,1976,136
307,Burnt Offerings,1976,136
308,Silent Movie,1976,136
309,Robin and Marian,1976,136
310,The Town That Dreaded Sundown,1976,136
311,Pete's Dragon,1977,85
312,Star Wars,1977,85
313,The Spy Who Loved Me,1977,85
314,The Rescuers,1977,85
315,Annie Hall,1977,85
316,March or Die,1977,85
317,Sinbad and the Eye of the Tiger,1977,85
318,Close Encounters of the Third Kind,1977,85
319,A Bridge Too Far,1977,85
320,The Many Adventures of Winnie the Pooh,1977,85
321,Herbie Goes To Monte Carlo,1977,85
322,High Anxiety,1977,85
323,Saturday Night Fever,1977,85
324,Sorcerer,1977,85
325,Smokey and the Bandit,1977,85
326,Pumping Iron,1977,85
327,Kingdom of the Spiders,1977,85
328,3 Women,1977,85
329,"Oh, God!",1977,85
330,The Last Wave,1977,85
331,Orca: The Killer Whale,1977,85
332,The White Buffalo,1977,85
333,The Serpent's Egg,1977,85
334,Black Sunday,1977,85
335,The Man in the Iron Mask,1977,85
336,The Hobbit,1977,85
337,The Message,1977,85
338,Rolling Thunder,1977,85
339,Eraserhead,1977,85
340,Jabberwocky,1977,85
341,Airport '77,1977,85
342,Exorcist II: The Heretic,1977,85
343,Audrey Rose,1977,85
344,Julia,1977,85
345,The Duellists,1977,85
346,Slap Shot,1977,85
347,"New York, New York",1977,85
348,Cross of Iron,1977,85
349,The Gauntlet,1977,85
350,Wizards,1977,85
351,The Car,1977,85
352,Candleshoe,1977,85
353,Rollercoaster,1977,85
354,The Hills Have Eyes,1977,85
355,Emmet Otter's Jug-Band Christmas,1977,85
356,Shock Waves,1977,85
357,Opening Night,1977,85
358,The Goodbye Girl,1977,85
359,The Sentinel,1977,85
360,Day of the Animals,1977,85
361,Empire of the Ants,1977,85
362,The Deep,1977,85
363,Martin,1977,85
364,The Island of Dr. Moreau,1977,85
365,The Kentucky Fried Movie,1977,85
366,Demon Seed,1977,85
367,Rabid,1977,85
368,Long Weekend,1978,240
369,Hooper,1978,240
370,Over the Edge,1979,110
371,The Champ,1979,110
372,Dracula,1979,110
373,Norma Rae,1979,110
374,Rock 'n' Roll High School,1979,110
375,Tourist Trap,1979,110
376,The Wanderers,1979,110
377,The Onion Field,1979,110
378,When a Stranger Calls,1979,110
379,Richard Pryor: Live in Concert,1979,110
380,Stridulum,1979,110
381,Love at First Bite,1979,110
382,The Brood,1979,110
383,Manhattan,1979,110
384,Hanover Street,1979,110
385,Hardcore,1979,110
386,The Black Hole,1979,110
387,Nosferatu: Phantom der Nacht,1979,110
388,All That Jazz,1979,110
389,Escape from Alcatraz,1979,110
390,The Amityville Horror,1979,110
391,Hair,1979,110
392,Phantasm,1979,110
393,Caligola,1979,110
394,Rocky II,1979,110
395,The Warriors,1979,110
396,Beneath the Valley of the Ultra-Vixens,1979,110
397,Life of Brian,1979,110
398,Moonraker,1979,110
399,Star Trek: The Motion Picture,1979,110
400,Mad Max,1979,110
401,Apocalypse Now,1979,110
402,Alien,1979,110
403,Being There,1979,110
404,Meatballs,1979,110
405,The Villain,1979,110
406,The Frisco Kid,1979,110
407,Scum,1979,110
408,Meteor,1979,110
409,The Apple Dumpling Gang Rides Again,1979,110
410,All Quiet on the Western Front,1979,110
411,The Bugs Bunny/Road Runner Movie,1979,110
412,The Electric Horseman,1979,110
413,The Black Stallion,1979,110
414,10,1979,110
415,The First Great Train Robbery,1979,110
416,Tess,1979,110
417,Salem's Lot,1979,110
418,Quadrophenia,1979,110
419,Breaking Away,1979,110
420,Time After Time,1979,110
421,...And Justice for All,1979,110
422,1941,1979,110
423,The Jerk,1979,110
424,The China Syndrome,1979,110
425,Kramer vs. Kramer,1979,110
426,The Concorde... Airport '79,1979,110
427,Urban Cowboy,1980,107
428,å¸«å¼Ÿå‡ºé¦¬,1980,107
429,Atlantic City,1980,107
430,Nine to Five,1980,107
431,Alligator,1980,107
432,Cruising,1980,107
433,American Gigolo,1980,107
434,The Big Red One,1980,107
435,The Mirror Crack'd,1980,107
436,The Exterminator,1980,107
437,The Dogs of War,1980,107
438,Altered States,1980,107
439,The Long Good Friday,1980,107
440,Any Which Way You Can,1980,107
441,Popeye,1980,107
442,Somewhere in Time,1980,107
443,Permanent Vacation,1980,107
444,The Final Countdown,1980,107
445,The Big Brawl,1980,107
446,Ordinary People,1980,107
447,Terror Train,1980,107
448,Heaven's Gate,1980,107
449,Herbie Goes Bananas,1980,107
450,Brubaker,1980,107
451,Stardust Memories,1980,107
452,Tom Horn,1980,107
453,Death Ship,1980,107
454,Stir Crazy,1980,107
455,Where the Buffalo Roam,1980,107
456,The Hunter,1980,107
457,The Watcher in the Woods,1980,107
458,Humanoids from the Deep,1980,107
459,Maniac,1980,107
460,The Long Riders,1980,107
461,Xanadu,1980,107
462,Coal Miner's Daughter,1980,107
463,Seems Like Old Times,1980,107
464,Battle Beyond the Stars,1980,107
465,The Ninth Configuration,1980,107
466,The Nude Bomb,1980,107
467,Breaker Morant,1980,107
468,ShÅgun,1980,107
469,Prom Night,1980,107
470,Shogun Assassin,1980,107
471,Saturn 3,1980,107
472,Bad Timing,1980,107
473,My Bodyguard,1980,107
474,Bronco Billy,1980,107
475,Inferno,1980,107
476,Used Cars,1980,107
477,Forbidden Zone,1980,107
478,Flash Gordon,1980,107
479,Dressed to Kill,1980,107
480,Caddyshack,1980,107
481,Little Lord Fauntleroy,1980,107
482,The Fog,1980,107
483,The Gods Must Be Crazy,1980,107
484,Private Benjamin,1980,107
485,Smokey and the Bandit II,1980,107
486,Cheech & Chong's Next Movie,1980,107
487,The Elephant Man,1980,107
488,Fame,1980,107
489,Friday the 13th,1980,107
490,Superman II,1980,107
491,Raging Bull,1980,107
492,The Blue Lagoon,1980,107
493,The Blues Brothers,1980,107
494,Airplane!,1980,107
495,The Shining,1980,107
496,The Empire Strikes Back,1980,107
497,Foxes,1980,107
498,The Octagon,1980,107
499,The Changeling,1980,107
500,Motel Hell,1980,107
501,The Stunt Man,1980,107
502,Hopscotch,1980,107
503,Gloria,1980,107
504,The Awakening,1980,107
505,The Decline of Western Civilization,1981,114
506,Gregory's Girl,1981,114
507,Bloody Birthday,1981,114
508,The Incredible Shrinking Woman,1981,114
509,Continental Divide,1981,114
510,"Vernon, Florida",1981,114
511,The Prowler,1981,114
512,Enter the Ninja,1981,114
513,Prince of the City,1981,114
514,The Hitch Hikers Guide to the Galaxy,1981,114
515,American Pop,1981,114
516,Forbidden World,1982,118
517,My Favorite Year,1982,118
518,Oliver Twist,1982,118
519,The Slumber Party Massacre,1982,118
520,Diner,1982,118
521,Megaforce,1982,118
522,The Plague Dogs,1982,118
523,Turkey Shoot,1982,118
524,Basket Case,1982,118
525,Liquid Sky,1982,118
526,Ren zhe wu di,1982,118
527,The Draughtsman's Contract,1982,118
528,Made in Britain,1982,118
529,Summer Lovers,1982,118
530,Madman,1982,118
531,Vokzal dlya Dvoikh,1982,118
532,White Dog,1982,118
533,Q,1982,118
534,The Entity,1982,118
535,The Man from Snowy River,1982,118
536,The Last American Virgin,1982,118
537,Missing,1982,118
538,Vincent,1982,118
539,Koyaanisqatsi,1982,118
540,The World According to Garp,1982,118
541,The Sword and the Sorcerer,1982,118
542,Honkytonk Man,1982,118
543,The Year of Living Dangerously,1982,118
544,The Toy,1982,118
545,Friday the 13th Part III,1982,118
546,Class of 1984,1982,118
547,Halloween III: Season of the Witch,1982,118
548,The Verdict,1982,118
549,Victor/Victoria,1982,118
550,Mil gritos tiene la noche,1982,118
551,Firefox,1982,118
552,The Border,1982,118
553,Silent Rage,1982,118
554,Amityville II: The Possession,1982,118
555,The Best Little Whorehouse in Texas,1982,118
556,Zapped!,1982,118
557,Deathtrap,1982,118
558,Fitzcarraldo,1982,118
559,Death Wish 2,1982,118
560,The Beastmaster,1982,118
561,Monty Python Live at the Hollywood Bowl,1982,118
562,Shao Lin Si,1982,118
563,The Flight of Dragons,1982,118
564,Meantime,1983,111
565,Spacehunter: Adventures in the Forbidden Zone,1983,111
566,Eddie Murphy: Delirious,1983,111
567,Uncommon Valor,1983,111
568,Hercules,1983,111
