,original_title,release_year,runtime
0,The Brides of Dracula,1960,134
1,The Grass Is Greener,1960,134
2,The Unforgiven,1960,134
3,Ocean's Eleven,1960,134
4,Carry On Constable,1960,134
5,Peeping Tom,1960,134
6,The Time Machine,1960,134
7,Let's Make Love,1960,134
8,House of Usher,1960,134
9,Swiss Family Robinson,1960,134
10,Saturday Night and Sunday Morning,1960,134
11,Inherit the Wind,1960,134
12,Comanche Station,1960,134
13,Flaming Star,1960,134
14,Pollyanna,1960,134
15,Midnight Lace,1960,134
16,The Little Shop of Horrors,1960,134
17,The Alamo,1960,134
18,Sink the Bismarck!,1960,134
19,The Apartment,1960,134
20,The Lost World,1960,134
21,Elmer Gantry,1960,134
22,Sergeant Rutledge,1960,134
23,Spartacus,1960,134
24,Psycho,1960,134
25,The Magnificent Seven,1960,134
26,Murder She Said,1961,133
27,Breakfast at Tiffany's,1961,133
28,West Side Story,1961,133
29,The Guns of Navarone,1961,133
30,Judgment at Nuremberg,1961,133
31,The Parent Trap,1961,133
32,The Comancheros,1961,133
33,One Hundred and One Dalmatians,1961,133
34,How the West Was Won,1962,128
35,Cape Fear,1962,128
36,Hatari!,1962,128
37,The Manchurian Candidate,1962,128
38,To Kill a Mockingbird,1962,128
39,Lawrence of Arabia,1962,128
40,Dr. No,1962,128
41,Mutiny on the Bounty,1962,128
42,Lolita,1962,128
43,The Man Who Shot Liberty Valance,1962,128
44,Le proc̬s,1962,128
45,Experiment in Terror,1962,128
46,The Loneliness of the Long Distance Runner,1962,128
47,The Music Man,1962,128
48,Captain Clegg,1962,128
49,What Ever Happened to Baby Jane?,1962,128
50,Birdman of Alcatraz,1962,128
51,Boccaccio '70,1962,128
52,The Longest Day,1962,128
53,The Brain That Wouldn't Die,1962,128
54,Days of Wine and Roses,1962,128
55,The Miracle Worker,1962,128
56,Tales of Terror,1962,128
57,Panic in Year Zero!,1962,128
58,The 300 Spartans,1962,128
59,Dinner for One,1963,144
60,Charade,1963,144
61,The Birds,1963,144
62,The Sword in the Stone,1963,144
63,From Russia With Love,1963,144
64,The Tomb of Ligeia,1964,129
65,Dead Ringer,1964,129
66,Robinson Crusoe on Mars,1964,129
67,Zorba the Greek,1964,129
68,The Night of the Iguana,1964,129
69,Il deserto rosso,1964,129
70,Paris When It Sizzles,1964,129
71,Topkapi,1964,129
72,The Killers,1964,129
73,Man's Favorite Sport?,1964,129
74,Scorpio Rising,1964,129
75,"Kiss Me, Stupid",1964,129
76,Cheyenne Autumn,1964,129
77,First Men in the Moon,1964,129
78,Robin and the 7 Hoods,1964,129
79,The Americanization of Emily,1964,129
80,Becket,1964,129
81,"Hush... Hush, Sweet Charlotte",1964,129
82,Two Thousand Maniacs!,1964,129
83,Seven Days in May,1964,129
84,Father Goose,1964,129
85,The Gorgon,1964,129
86,Seance on a Wet Afternoon,1964,129
87,Viva Las Vegas,1964,129
88,The Naked Kiss,1964,129
89,Goldfinger,1964,129
90,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,129
